kode,keterangan_bersih
1466,budi daya bibit burung puyuh kelompok cakup giat budi daya burung puyuh hasil burung puyuh potong burung puyuh telur telur konsumsi giat bibit hasil bibit ternak burung puyuh telur tetas
1467,budi daya bibit burung merpati kelompok cakup giat budi daya burung merpati hasil burung merpati potong giat bibit hasil bibit ternak burung merpati telur tetas
1468,bibit ayam ras kelompok cakup giat bibit ayam ras daging ayam ras telur hasil telur tetas ayam bibit kur hasil
1469,budi daya bibit unggas kelompok cakup giat budi daya unggas kalkun angsa ayam mutiara hasil unggas daging unggas telur telur konsumsi giat bibit unggas hasil bibit telur tetas terna subgolongan cakup budi daya bibit hewan semidomestik hewan burung unta emu burung unggas serangga kelinci hewan bulu produksi kulit bulu kulit reptil kulit burung terna tani operasi terna cacing bekicot keong darat budi daya ulat sutra produksi kepompong ulat sutra pelihara lebah pengembangbiakan lebah jual produksi madu lilin lebah propolis sarang lebah budi daya bibit hewan sayang kecuali ikan kucing anjing burung sayang parkit hamster subgolongan cakup terna unggas produksi kulit kulit asli buru pasang perangkap operasi terna cacing laut katak buaya operasi pembudidayaan ikan titip latih hewan pelihara budi daya ikan hias operasi lindung hewan lantar hewan sayang
1491,budi daya bibit burung unta kelompok cakup giat budi daya burung unta konsumsi hasil burung unta potong telur giat bibit hasil bibit ternak burung unta telur tetas
1492,budi daya bibit ulat sutra kelompok cakup giat budi daya bibit ulat sutra hasil kokon kepompong ulat sutra
1493,budi daya bibit lebah kelompok cakup giat budi daya bibit lebah hasil produk madu lilin lebah propolis sarang lebah giat bibit lebah
1494,budi daya bibit rusa kelompok cakup giat budi daya bibit rusa kijang hasil bibit daging kulit hasil
1495,budi daya bibit kelinci kelompok cakup giat budi daya bibit kelinci hasil daging kulit hasil
1496,budi daya bibit cacing kelompok cakup giat budi daya bibit cacing hasil bibit daging hasil
1497,budi daya bibit burung walet kelompok cakup giat budi daya bibit burung walet giat hasil burung sarang burung walet kelompok cakup olah sarang burung walet
1498,tangkar satwa liar kelompok cakup giat tangkar besar biak satwa liar jenis mamalia reptilia buaya aligator burung insekta jenis lestari kelompok cakup giat tangkar buaya aligator
1499,budi daya bibit hewan kelompok cakup giat budi daya bibit hewan marmut anjing kucing ulat jangkrik hasil bibit daging kulit hasil
1611,jasa olah lahan kelompok cakup giat olah lahan tani dasar balas jasa kontrak tuju siap tanam lahan sawah sawah
1612,jasa pupu kelompok cakup giat pupu lahan tani dasar balas jasa kontrak
1613,jasa panen kelompok cakup giat panen tanam dasar balas jasa kontrak
1614,jasa semprot serbu udara kelompok cakup giat semprot serbu udara pesawat udara dasar
1615,jasa kendali organisme ganggu tumbuh opt kelompok cakup giat kendali hama sakit gulma tanam dasar balas jasa kontrak
1616,jasa tanam benih kelompok cakup giat tanam benih komoditas tani dasar balas jasa kontrak
1619,jasa tunjang tani kelompok cakup giat jasa tunjang tani kelompok jasa tunjang tani selenggara air siram sedia alat tani operator pelihara awat alat tani dasar balas jasa kontrak kelompok cakup giat sewa alat tani operator
1621,jasa kawin ternak kelompok cakup giat kawin ternak dasar balas jasa kontrak inseminasi buat transfer embrio periksa bunting bull master
1622,jasa tetas telur kelompok cakup giat tetas telur dasar balas jasa kontrak
1629,jasa tunjang terna kelompok cakup giat jasa tunjang terna dasar balas jasa kontrak cukur bulu ternak pasang beri identitas ternak bersih kandang ternak usaha layan cari rumput pelihara awat hewan gembala ternak kelompok cakup giat farrier tukang tapal kuda kebiri hewan
1630,jasa pascapanen kelompok cakup giat pascapanen dasar balas jasa kontrak liput giat siap hasil tani jual pasar primer bersih sortasi peringkat kupas ering sinar mataharidan disinfeksi pisah biji kapas siap daun tembakau ering sinar matahari siap biji cokelat kupas beri lilin buah buah ering buah sayur rempah herba obat alami sortasi bersih potong herba obat busuk tanam serat tekstil yute flaks sabut dll kait aktivitas tani tanam pematang buat buah jasa pematang pisang kelompok cakup siap produk tani tani giat pascapanen tuju tingkat kualitas benih bersih ering tembakau pasar dagang komisi asosiasi kooperatif golong pokok dagang hasil tani serta siap tingkat kualitas produk mapun olah biji biji hasil minyak penelitan kembang rekayasa bentuk benih
1640,pilih benih tanam biak kelompok cakup giat olah benih tingkat kualitas banyak benih eliminasi material benih benih ukur benih rusak mekanis serangga benih matang kurang kelembaban benih aman simpan giat cakup ering bersih peringkat sortasi benih pasar pelihara benih modifikasi kelompok cakup siap produk tani tani bersih ering tembakau pasar dagang komisi asosiasi kooperatif golong pokok dagang hasil tani hewan hidup tanam biji olah biji hasil minyak teliti kembang modifikasi benih bentuk
1700,buru tangkap giat jasa kait kelompok cakup giat buru tangkap hewan perangkap tuju komersial tangkap satwa liar mati hidup makan ambil bulu kulit kendali populasi satwa teliti tempat kebun binatang hewan sayang produksi kulit bulu binatang kulit reptil kulit burung giat buru tangkap tangkap katak kodok alam liar kumpul siput alam liar tangkap mamalia laut duyung singa laut anjing laut darat buru rubah cerpelai serigala lindung ternak buru kendali populasi hewan produksi tanduk mamalia organ reptil hewan giat buru tangkap kelompok cakup produksi kulit bulu binatang kulit reptil burung giat terna besar binatang buru terna kendali hama kelinci hubung giat tani tangkap paus produksi kulit rumah potong hewan buru olahraga rekreasi giat jasa kait giat organisasi dukung buru tangkap
2101,kelola hutan kelompok cakup giat kelola hutan liput tanam tanam konservasi hutan lahan kayu kelompok cakup giat kelola hutan tuju serap simpan karbon sekuestrasi karbon alami hutan alam hutan semialami hutan tanam jual kredit karbon sertifikat kurang emisi hasil giat kelola hutan kelompok cakup giat inventarisasi catat sekuestrasi karbon hutan tiga kategori
2102,manfaat kayu hutan kelompok cakup giat kelola kayu hutan tanam tebang hasil produksi kayu bulat giat hutan alam hutan semialami hutan tanam
