kode,keterangan_bersih
1496,budi daya bibit cacing kelompok cakup giat budi daya bibit cacing hasil bibit daging hasil lain
1497,budi daya bibit burung walet kelompok cakup giat budi daya bibit burung walet masuk giat lain hasil burung sarang burung walet kelompok tidak cakup olah sarang burung walet
1498,tangkar satwa liar kelompok cakup giat tangkar besar biak satwa liar jenis mamalia reptilia buaya aligator burung insekta jenis lain lestari kelompok tidak cakup giat tangkar buaya aligator
1499,budi daya bibit hewan lain kelompok cakup giat budi daya bibit hewan lain marmut anjing kucing ulat jangkrik hasil bibit daging kulit hasil lain
1611,jasa olah lahan kelompok cakup giat olah lahan tani atas dasar balas jasa kontrak tuju siap tanam baik lahan sawah maupun bukan sawah
1612,jasa pupu kelompok cakup giat pupu lahan tani atas dasar balas jasa kontrak
1613,jasa panen kelompok cakup giat panen tanam atas dasar balas jasa kontrak
1614,jasa semprot serbu lalu udara kelompok cakup giat semprot serbu lalu udara pesawat udara khusus dasar ada tentu
1615,jasa kendali organisme ganggu tumbuh opt kelompok cakup giat kendali hama sakit gulma tanam atas dasar balas jasa kontrak
1616,jasa tanam benih kelompok cakup giat tanam benih komoditas tani atas dasar balas jasa kontrak
1619,jasa tunjang tani lain kelompok cakup giat jasa tunjang tani lain belum masuk kelompok jasa tunjang tani atas selenggara air siram sedia alat tani ikut operator pelihara awat alat tani atas dasar balas jasa kontrak kelompok tidak cakup giat sewa khusus alat tani operator
1621,jasa kawin ternak kelompok cakup giat kawin ternak atas dasar balas jasa kontrak inseminasi buat transfer embrio periksa bunting bull master
1622,jasa tetas telur kelompok cakup giat tetas telur atas dasar balas jasa kontrak
1629,jasa tunjang terna lain kelompok cakup giat jasa tunjang terna lain atas dasar balas jasa kontrak cukur bulu ternak pasang beri identitas ternak bersih kandang ternak masuk usaha layan cari rumput pelihara awat hewan gembala ternak kelompok juga cakup giat farrier tukang tapal kuda kebiri hewan
1630,jasa pascapanen kelompok cakup giat pascapanen atas dasar balas jasa kontrak liput giat siap hasil tani jual pasar primer bersih sortasi peringkat kupas ering sinar mataharidan disinfeksi pisah biji kapas siap daun tembakau ering sinar matahari siap biji cokelat kupas beri lilin buah buah ering buah sayur rempah herba obat cara alami sortasi bersih potong herba obat busuk tanam serat tekstil yute flaks sabut kait aktivitas tani tanam sebut pematang buat buah jasa pematang pisang kelompok cakup siap produk tani tani giat pascapanen yang tuju tingkat kualitas benih bersih ering tembakau pasar dagang komisi asosiasi kooperatif lihat golong pokok dagang besar hasil tani baik serta siap tingkat kualitas produk mapun tidak olah biji biji hasil minyak penelitan kembang rekayasa bentuk benih baru
1640,pilih benih tanam biak kelompok cakup giat olah benih tuju tingkat kualitas banyak benih lalu eliminasi material benih benih ukur terlalu kecil benih rusak mekanis karena serangga benih belum matang kurang kelembaban benih aman simpan giat cakup ering bersih peringkat sortasi lain benih pasar pelihara benih telah modifikasi juga masuk sini kelompok tidak cakup siap produk tani tani bersih ering tembakau pasar dagang komisi asosiasi kooperatif lihat golong pokok dagang besar hasil tani hewan hidup tanam biji olah biji hasil minyak teliti kembang modifikasi benih bentuk baru
1700,buru tangkap giat jasa kait kelompok cakup giat buru tangkap hewan perangkap tuju komersial tangkap satwa liar mati hidup makan maupun ambil bulu kulit kendali populasi satwa guna teliti tempat kebun binatang bagai hewan sayang produksi kulit bulu binatang kulit reptil kulit burung giat buru tangkap tangkap katak kodok alam liar kumpul siput alam liar tangkap mamalia laut duyung singa laut anjing laut laku darat buru rubah cerpelai serigala lindung ternak buru kendali populasi hewan produksi tanduk mamalia organ reptil hewan lain giat buru tangkap kelompok tidak cakup produksi kulit bulu binatang kulit reptil burung giat terna besar binatang buru terna kendali hama masuk kelinci hubung giat tani tangkap paus produksi kulit rumah potong hewan buru olahraga rekreasi giat jasa kait giat organisasi untuk dukung buru tangkap
2101,kelola hutan kelompok cakup giat kelola hutan liput tanam tanam konservasi hutan lahan kayu kelompok juga cakup giat kelola hutan tuju serap simpan karbon sekuestrasi karbon alami laku hutan alam hutan semialami hutan tanam serta jual kredit karbon sertifikat kurang emisi hasil giat kelola hutan kelompok tidak cakup giat inventarisasi catat sekuestrasi karbon hutan laku pihak tiga lihat kategori n
2102,manfaat kayu hutan kelompok cakup giat kelola kayu dalam hutan mulai tanam tebang hasil produksi upa kayu bulat giat dapat laku dalam hutan alam hutan semialami maupun hutan tanam
2103,benih tanam hutan kelompok cakup giat benih pohon hutan besar dengan umur tentu benih pohon pohon hutan cakup kelompok
2201,panen kayu kelompok cakup giat poduksi kayu bulat tebang hutan baik guna industri bas produk hutan maupun guna bentuk tidak olah pit props tonggak pagar tiang listrik telepon
2202,mungut kayu kelompok cakup giat mungut kayu hutan residu hasil giat tebang pohon hutan misal semak belukar tunggul pohon serpih kayu limbah hutan lain energi kelompok juga cakup giat produksi arang tradisional asosiasi giat hutan
2300,mungut hasil hutan bukan kayu kelompok cakup giat mungut hasil hutan bukan kayu tumbuh liar misal jamur truffles beri rian kacang kacang balata getah lain gabus lak damar resin balsam biji pohon ek kasta horse chestnuts lumut lumut kerak sayur rambut eelgrass kelompok juga cakup mungut getah karet getah perca jelutung kemenyan mungut rotan getah pinus jernang kopal selak mungut bambu tumbuh liar mungut kokon kepompong ulat sutra damar madu sarang burung walet mungut daun buah kulit kayu gaharu daun ranting kulit kayu cendana kulit kayu lawang kayu manis mungut daun pandan daun kayu putih kumpul rempah tumbuh liar ering alami kelompok tidak cakup tani hasil produk produk sebut atas tanam pohon gabus lihat golong pokok tani jamur truffles tani buah beri aneka kacang kumpul kayu bakar
2401,jasa lingkung hutan kelompok cakup giat manfaat jasa kondisi lingkung dalam hutan mulai manfaat kondisi lingkung upa manfaat potensi ekosistem fungsi konservasi lindung manfaat jasa lingkung hutan air udara ada iklim fenomena alam khas jenis uni spesies giat dapat laku dalam hutan alam hutan semialami maupun hutan tanam
2402,jasa guna kawasan hutan kelompok cakup jasa hutan bidang guna kawasan hutan ubah fungsi untuk kawasan hutan
